O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.06	-21.38	23.62	555.58	5.36	2.31	422.21
1591.32	0.1	-21.38	23.71	527.17	5.41	2.75	397.02
51064984	0.08	-21.06	23.84	553.11	5.28	2.3	447.5
866.04	0.12	-24.93	23.86	534.04	5.28	2.39	472.79
51064984	0.09	-19.45	23.79	548.24	5.28	2.32	422.21
51064984	0.07	-20.41	23.86	548.24	5.43	2.31	422.21
51064984	0.03	-16.54	23.87	536.36	5.31	2.32	422.26
51064984	0.01	-8.16	23.94	534.04	5.23	2.3	422.21
51064984	0.14	-10.41	24.01	543.43	5.41	2.29	447.5
51064984	0	-18.48	24.05	509.57	5.3	2.29	447.45
51064984	0.02	-18.16	24.12	529.45	5.26	2.32	422.16
51064984	0.06	-18.8	24.17	503.21	5.24	2.31	422.16
51064984	0.09	-18.48	24.17	522.68	5.41	2.32	422.16
51064984	0.05	-21.38	24.12	531.73	5.39	2.3	447.5
8842.91	0.04	-11.7	24.3	511.71	5.28	2.29	472.74
51064984	0	-2.03	24.23	524.92	5.38	2.29	422.11
51064984	0.08	-18.8	24.28	531.73	5.55	2.37	447.5
612.77	0.14	-22.03	24.29	529.45	5.43	2.31	422.16
51064984	0.08	-23.64	24.29	509.57	5.35	2.56	422.11
2512.27	0.12	-4.93	24.35	518.24	5.41	2.32	422.21
51064984	0.03	-23.96	24.34	518.24	5.27	2.32	472.74
1949.47	0.05	-24.61	24.31	507.43	5.28	2.31	422.21
51064984	0.11	-19.45	24.34	490.9	5.35	2.32	422.11
51064984	-0.05	-10.09	24.32	503.21	5.26	2.31	422.11
51064984	0.05	-2.35	24.28	509.57	5.37	2.75	422.16
51064984	0.03	-2.03	24.31	516.05	5.34	2.32	422.11
51064984	0.11	-19.12	24.39	507.43	5.34	2.32	422.01
51064984	0.03	-23	24.3	511.71	5.32	2.29	422.11
51064984	0.12	-25.9	24.29	520.45	5.41	2.31	397.02
8842.91	0.04	-21.38	24.21	520.45	5.22	2.33	422.21
51064984	0.1	-20.09	24.21	518.24	5.35	2.31	397.07
51064984	0.08	-23.96	24.23	473.35	5.39	2.31	422.16
51064984	-0.03	-21.06	24.11	509.57	5.55	2.31	422.21
51064984	0.09	-20.41	24.12	511.71	5.48	2.32	422.21
51064984	0.04	-20.09	24.17	499.05	5.3	2.32	422.21
51064984	0.05	-19.12	24.2	486.91	5.47	2.3	422.21
51064984	0.09	-17.19	24.18	520.45	5.41	2.56	396.97
2512.27	0.03	-11.38	24.34	516.05	5.29	2.32	396.92
5888.81	0	-21.38	24.13	477.16	5.3	2.32	422.21
51064984	0.05	-23	24.12	482.97	5.36	2.3	397.07
51064984	0.13	-20.41	24.02	520.45	5.4	2.33	397.02
51064984	0.08	-25.58	23.89	522.68	5.49	2.32	421.91
1457.01	0.06	3.45	23.92	522.68	5.38	2.47	396.62
51064984	0.07	-20.09	23.88	529.45	5.36	2.76	396.92
51064984	0.09	-22.67	23.82	538.7	5.43	2.31	396.57
51064984	0.09	1.19	23.86	527.17	5.63	2.31	396.67
51064984	0.09	-18.8	23.85	507.43	5.42	2.32	396.82
51064984	0.04	-21.06	23.84	518.24	5.39	2.31	396.97
1343.36	0.1	-19.12	23.81	524.92	5.48	2.31	421.86
51064984	0.12	-17.19	23.78	541.06	5.58	2.31	396.62
51064984	0.02	-19.45	23.79	529.45	5.48	2.29	396.77
516.83	0	-17.83	23.76	516.05	5.41	2.3	421.96
51064984	0.12	-10.09	23.75	541.06	5.35	2.29	396.77
51064984	0.1	-24.93	23.76	538.7	5.41	2.31	396.72
1752.48	0.07	-25.25	23.75	545.83	5.53	2.3	421.86
51064984	0.04	-23.32	23.75	534.04	5.62	2.32	396.72
1949.47	0.08	-25.25	23.69	536.36	5.4	2.29	396.72
1949.47	0.04	-5.9	23.76	536.36	5.36	2.31	396.62
51064984	0.11	-24.61	23.78	531.73	5.04	2.75	396.92
51064984	0.1	-12.03	23.72	529.45	5.2	2.7	396.67
51064984	0.06	-18.8	23.78	548.24	5.32	2.59	396.72
51064984	0.11	-21.38	23.84	522.68	5.17	2.31	397.02
51064984	0.03	-10.74	23.75	527.17	5.3	2.29	396.77
51064984	0.15	-19.77	23.8	527.17	5.3	2.3	396.82
51064984	0.1	-17.83	23.85	534.04	5.18	2.3	396.72
51064984	0.05	-20.41	23.79	541.06	5.34	2.3	396.72
51064984	0.08	-20.09	23.77	543.43	5.31	2.29	396.82
51064984	0.11	-3.32	23.71	553.11	5.35	2.31	421.81
51064984	0.07	-21.38	23.73	522.68	5.44	2.31	396.72
51064984	0.14	-19.77	23.75	553.11	5.32	2.31	396.87
51064984	0.09	-14.61	23.7	553.11	5.39	2.7	396.82
4411.63	0.13	-18.48	23.73	563.08	5.1	2.31	422.01
3525.28	0.04	-23.96	23.67	560.56	5.4	2.31	396.62
51064984	0.07	-0.41	23.69	558.06	5.24	2.31	396.77
51064984	0.19	-20.41	23.78	522.68	5.23	2.32	421.81
51064984	0.07	-20.74	23.71	558.06	5.28	2.29	396.67
51064984	0.12	-14.61	23.77	545.83	5.32	2.3	396.92
51064984	0.02	-18.48	23.73	545.83	5.15	2.3	422.21
51064984	0.12	-14.61	23.76	548.24	5.21	2.31	396.72
1949.47	0.03	-5.25	23.8	520.45	5.2	2.34	396.92
51064984	0.09	-19.12	23.79	531.73	5.34	2.44	422.01
1591.32	0.07	-19.45	23.79	534.04	5.24	2.63	396.97
51064984	0.1	-14.93	23.87	505.32	5.33	2.3	422.21
51064984	0.06	-13.96	23.86	507.43	5.32	2.3	422.21
51064984	0.06	-17.51	23.8	509.57	5.27	2.75	422.21
718.3	0.05	-17.51	23.85	516.05	5.32	2.54	422.21
2195.69	0.16	-16.22	23.62	538.7	5.45	2.29	396.87
51064984	0.1	1.19	23.8	531.73	5.11	2.31	422.16
51064984	0.04	-13.96	23.95	522.68	5.24	2.31	422.21
51064984	0.09	-9.77	23.95	507.43	5.32	2.31	422.16
51064984	0.07	-16.87	24.04	507.43	5.34	2.3	422.21
51064984	0.09	-14.29	24.12	507.43	5.45	2.66	422.21
51064984	0.14	-15.9	24.07	503.21	5.37	2.31	422.21
51064984	0.12	-4.93	23.96	503.21	5.31	2.29	422.21
51064984	0.07	-12.67	24.01	529.45	5.27	2.44	422.21
51064984	0.08	-12.03	24.07	529.45	5.39	2.57	422.16
51064984	0.07	-2.67	24.06	529.45	5.19	2.31	422.21
51064984	0.04	-0.09	24.18	534.04	5.29	2.3	447.5
51064984	0.16	-10.41	24.12	501.13	5.3	2.31	447.45
51064984	0.12	-13.64	24.12	543.43	5.27	2.29	447.45
51064984	0.14	-9.45	24.17	507.43	5.19	2.3	447.45
51064984	0.07	-7.51	24.11	536.36	5.26	2.3	447.5
51064984	0.04	10.22	24.13	543.43	5.23	2.31	447.5
51064984	0.13	8.61	24.14	543.43	5.28	2.3	472.74
51064984	0.09	-10.41	24.19	538.7	5.17	2.31	447.5
51064984	0.05	-13.64	24.29	522.68	5.3	2.31	447.45
3525.28	0.09	-9.45	24.22	531.73	5.21	2.31	422.21
51064984	0.03	1.19	24.23	524.92	5.2	2.32	422.21
51064984	0.12	-7.19	24.27	531.73	5.3	2.3	422.21
486.13	0.05	-11.38	24.26	541.06	5.38	2.31	422.21
51064984	0.06	-13.96	24.22	536.36	5.18	2.32	422.21
51064984	0.06	6.67	24.28	538.7	5.34	2.33	422.21
3525.28	0.08	-6.22	24.19	534.04	5.16	2.31	422.21
51064984	0.03	-2.35	24.1	531.73	5.21	2.49	422.21
51064984	0.05	-12.67	24.03	545.83	5.24	2.33	447.5
51064984	0.07	8.61	23.97	545.83	5.27	2.32	447.5
51064984	0.11	2.16	23.96	548.24	5.27	2.31	447.45
17703.18	0.12	-10.41	23.87	541.06	5.46	2.32	447.5
1591.32	0.03	5.06	23.98	543.43	5.31	2.54	422.21
51064984	0.05	-9.45	24.03	499.05	5.22	2.58	422.21
51064984	0.04	-8.48	24.04	503.21	5.3	2.32	422.21
3525.28	0.07	-10.09	24.07	543.43	5.37	2.31	422.21
51064984	-0.01	9.25	24.06	538.7	5.26	2.33	447.5
51064984	0.17	-8.16	23.97	534.04	5.32	2.71	447.55
2195.69	0.03	-6.87	24.01	534.04	5.41	2.33	422.21
51064984	0.11	-10.09	24.09	527.17	5.26	2.32	422.21
51064984	0.14	2.16	24.01	529.45	5.35	2.31	422.11
51064984	0.03	-8.48	24.06	516.05	5.54	2.48	422.16
4411.63	0.11	1.19	24.04	484.93	5.4	2.3	447.5
51064984	0.08	-11.7	24.05	484.93	5.45	2.32	422.21
51064984	0.13	-9.77	24.13	505.32	5.33	2.76	422.16
51064984	0.09	-6.22	24.17	507.43	5.49	2.3	422.21
51064984	0.17	-7.19	24.13	507.43	5.26	2.32	422.21
51064984	0.18	-11.06	24.2	503.21	5.26	2.3	422.21
51064984	0.07	-8.8	24.15	516.05	5.34	2.31	422.21
51064984	0.06	0.22	23.95	531.73	5.41	2.31	422.21
51064984	0.09	-9.12	23.87	522.68	5.49	2.76	422.21
51064984	0.06	2.16	23.84	496.99	5.28	2.3	421.91
51064984	0.03	-6.54	24.03	541.06	5.21	2.32	422.21
51064984	0.23	-10.09	24.1	538.7	5.43	2.54	422.21
51064984	0.1	-10.74	24.05	529.45	5.45	2.32	422.21
51064984	0.06	-11.06	24.02	518.24	5.31	2.6	422.21
51064984	0.1	-11.06	24.02	501.13	5.15	2.3	397.07
8842.91	0.04	-8.16	24.02	543.43	5.3	2.74	422.21
51064984	0.1	-4.93	23.98	536.36	5.54	2.32	422.21
51064984	0.14	11.83	24	534.04	5.23	2.3	422.21
51064984	0.06	-9.12	23.93	534.04	5.22	2.31	422.16
51064984	0.06	12.8	23.86	518.24	5.32	2.3	422.21
51064984	0.09	-10.09	23.72	555.58	5.21	2.31	396.97
51064984	0.03	-4.93	23.79	507.43	5.34	2.3	422.21
51064984	0.1	-4.93	23.8	527.17	5.29	2.62	396.77
51064984	0.19	8.29	23.75	543.43	5.26	2.31	422.01
1022.48	0.09	-9.45	23.79	553.11	5.3	2.32	422.21
486.13	0.08	-11.38	23.71	505.32	5.47	2.31	422.21
51064984	0.08	-10.09	23.76	538.7	5.2	2.31	422.01
51064984	0.17	-9.77	23.68	548.24	5.28	2.31	421.86
51064984	0.16	-4.29	23.71	550.67	5.46	2.31	421.96
51064984	0.04	-7.83	23.81	536.36	5.26	2.34	421.91
51064984	0.1	-8.8	23.8	513.87	5.43	2.64	422.06
51064984	0.08	-7.51	23.78	553.11	5.33	2.32	422.16
51064984	0.15	-8.16	23.81	541.06	5.23	2.32	422.01
1949.47	0.04	-8.8	23.7	548.24	5.23	2.32	422.01
51064984	0.13	-10.09	23.72	531.73	5.2	2.32	396.67
51064984	0.09	-8.48	23.7	545.83	5.22	2.31	421.96
51064984	0.1	-1.06	23.7	527.17	5.36	2.31	422.01
51064984	0.11	12.8	23.7	568.19	5.38	2.31	421.91
3525.28	0.09	-7.51	23.78	558.06	5.25	2.32	421.91
51064984	0.09	-11.06	23.8	536.36	5.57	2.31	396.97
51064984	0.03	5.06	23.8	560.56	5.34	2.31	396.77
51064984	0.14	-1.06	23.8	538.7	5.3	2.3	396.97
718.3	0.06	-7.51	23.75	563.08	5.23	2.76	422.16
51064984	0.12	-10.74	23.79	560.56	5.48	2.3	422.21
51064984	0.12	-6.54	23.8	531.73	5.35	2.31	397.02
1949.47	0.04	-9.77	23.78	538.7	5.17	2.76	396.97
51064984	0.11	-4.29	23.84	553.11	5.36	2.31	396.97
51064984	0.1	-5.58	23.82	550.67	5.28	2.31	422.21
5888.81	0.15	-8.8	23.8	550.67	5.32	2.31	396.97
51064984	0.04	-7.51	23.76	545.83	5.45	2.31	422.21
51064984	0.09	-8.8	23.76	531.73	5.42	2.31	422.21
51064984	0.12	-9.45	23.79	522.68	5.46	2.3	422.21
51064984	0.15	-10.74	23.79	518.24	5.57	2.35	422.21
51064984	0.15	10.87	23.8	520.45	5.52	2.44	422.16
51064984	0.13	-7.83	23.61	479.08	5.44	2.3	422.16
51064984	0.07	-2.03	23.6	513.87	5.35	2.29	422.21
51064984	0.13	-7.51	23.68	490.9	5.45	2.3	422.21
51064984	0.13	-9.45	23.7	471.46	5.5	2.3	422.21
51064984	0.24	-8.48	23.82	509.57	5.36	2.36	422.21
51064984	0.1	-8.48	23.8	516.05	5.35	2.3	447.5
51064984	0.09	9.25	23.7	513.87	5.5	2.74	422.21
51064984	0.14	0.87	23.81	520.45	5.45	2.3	447.5
51064984	0.09	-9.77	23.8	499.05	5.49	2.31	422.16
51064984	0.14	-10.41	23.78	511.71	5.49	2.3	447.45
51064984	0.08	-6.87	23.8	534.04	5.53	2.45	422.16
51064984	0.13	-9.12	23.87	541.06	5.29	2.29	447.5
3525.28	0.15	-8.48	24	499.05	5.45	2.3	447.5
51064984	0.09	6.03	23.98	481.02	5.26	2.29	422.16
51064984	0.08	-10.74	23.96	477.16	5.42	2.3	447.5
51064984	0.06	-7.19	23.94	531.73	5.49	2.63	447.5
51064984	0.14	-4.93	24.03	536.36	5.34	2.31	447.45
51064984	0.12	-7.51	23.95	543.43	5.42	2.31	422.16
51064984	0.05	-6.22	23.95	545.83	5.12	2.65	422.16
51064984	0.08	-8.16	24	541.06	5.4	2.31	447.5
51064984	0.09	-7.19	23.98	516.05	5.34	2.34	422.11
51064984	0.06	-10.09	24	541.06	5.33	2.61	422.16
51064984	0.05	-9.45	24.15	543.43	5.41	2.49	472.74
51064984	0.05	-11.38	24.26	543.43	5.46	2.3	472.54
51064984	0.09	-5.9	24.32	529.45	5.36	2.31	422.16
51064984	0.03	-12.35	24.3	520.45	5.39	2.58	422.06
51064984	0.03	-6.87	24.38	499.05	5.43	2.55	422.21
51064984	0.11	9.9	24.32	524.92	5.32	2.31	422.16
51064984	0.04	-9.45	24.21	536.36	5.48	2.31	447.5
51064984	0.12	-11.06	24.12	538.7	5.45	2.75	447.5
1591.32	0.12	-0.74	24.12	543.43	5.46	2.3	447.5
51064984	0.14	-6.87	24.05	536.36	5.33	2.31	447.45
51064984	-0.01	-8.8	24	518.24	5.39	2.74	447.5
51064984	0.17	1.19	24	555.58	5.65	2.46	498.08
51064984	0.1	-9.12	24.12	513.87	5.49	2.3	498.13
51064984	0.08	-8.48	24.04	538.7	5.45	2.31	447.5
51064984	0.11	-11.06	24.02	531.73	5.27	2.3	447.55
51064984	0.11	-8.16	24.04	529.45	5.27	2.32	422.21
51064984	0.12	-7.51	24.13	529.45	5.14	2.52	472.74
51064984	0.06	-8.16	24.32	516.05	5.44	2.29	497.98
51064984	0.02	-13	24.4	516.05	5.21	2.38	422.11
51064984	0.07	-11.06	24.37	505.32	5.26	2.32	422.11
51064984	-0.04	-1.7	24.48	456.81	5.27	2.32	447.4
51064984	0.02	-5.9	24.59	488.9	5.26	2.5	447.35
51064984	0.14	-9.12	24.63	488.9	5.23	2.58	422.26
51064984	0.01	-9.77	24.73	460.4	5.25	2.32	447.4
51064984	0.09	-12.67	24.76	451.5	5.36	2.69	422.21
51064984	0.12	-7.19	24.7	477.16	5.21	2.31	421.96
51064984	0.08	3.45	24.62	484.93	5.24	2.33	396.87
51064984	0.13	12.16	24.54	473.35	5.33	2.32	422.11
1591.32	0.1	-7.19	24.37	462.21	5.37	2.75	422.16
3525.28	0.11	-7.51	24.38	507.43	5.26	2.32	422.21
5888.81	0.09	-7.83	24.35	507.43	5.44	2.32	422.16
51064984	0.09	-10.41	24.32	486.91	5.1	2.67	422.16
458.75	0.11	-12.35	24.36	511.71	5.25	2.75	422.16
1752.48	0.14	-6.22	24.25	484.93	5.19	2.76	422.21
51064984	0.14	-10.41	24.22	511.71	5.07	2.64	422.21
51064984	0.13	-11.06	24.19	516.05	5.35	2.36	422.21
51064984	0.03	-10.74	24.2	520.45	5.29	2.32	422.21
51064984	0.08	-10.41	24.2	509.57	5.28	2.31	422.21
501.03	0.06	-8.48	24.18	529.45	5.28	2.44	422.16
51064984	0.05	3.77	24.06	524.92	5.31	2.31	422.21
51064984	0.1	-7.51	24.03	516.05	5.35	2.32	422.21
51064984	0.05	3.45	23.89	541.06	5.21	2.32	421.86
51064984	0.13	-8.48	23.88	541.06	5.41	2.31	421.96
51064984	0.11	-10.74	23.95	536.36	5.36	2.72	422.21
912.7	0.09	-9.77	23.87	531.73	5.37	2.32	422.06
51064984	0.22	-0.41	23.93	538.7	5.33	2.32	422.21
51064984	0.15	-9.12	23.93	541.06	5.34	2.32	396.97
8842.91	0.11	-8.8	23.88	548.24	5.28	2.32	396.97
1087.66	0.1	-5.9	23.87	545.83	5.22	2.53	422.16
51064984	0.14	-10.74	23.87	545.83	5.31	2.32	422.06
51064984	0.09	-7.19	23.87	555.58	5.33	2.76	422.21
51064984	0.15	-10.74	23.9	550.67	5.24	2.32	422.21
51064984	0.06	12.16	23.95	560.56	5.16	2.32	422.21
3525.28	0.13	-8.16	23.95	543.43	5.43	2.5	422.06
51064984	0.12	10.54	24.02	555.58	5.19	2.48	422.21
51064984	0.09	-8.16	23.93	563.08	5.07	2.37	422.21
1752.48	0.08	8.29	23.84	558.06	5.32	2.75	421.96
51064984	0.16	-7.51	23.87	565.63	5.12	2.32	422.21
51064984	0.17	-2.67	23.77	524.92	5.26	2.31	422.21
51064984	0.16	-4.61	23.84	531.73	5.21	2.31	422.21
51064984	0.09	-7.51	23.86	570.77	5.29	2.53	422.16
51064984	0.16	-4.93	23.86	563.08	5.23	2.68	422.21
51064984	0.1	-5.58	23.8	536.36	5.34	2.31	422.21
51064984	0.23	-8.48	23.76	575.99	5.28	2.3	422.21
51064984	0.11	-10.74	23.8	568.19	5.42	2.29	422.21
51064984	0.19	14.41	23.73	527.17	5.37	2.29	422.16
51064984	0.05	-4.93	23.78	565.63	5.33	2.3	422.21
51064984	0.13	-7.83	23.7	558.06	5.47	2.44	422.16
51064984	0.11	-11.06	23.75	548.24	5.5	2.39	422.01
51064984	0.14	-6.87	23.71	534.04	5.47	2.74	421.91
51064984	0.08	-7.19	23.8	531.73	5.54	2.31	447.5
51064984	0.05	-9.45	23.79	513.87	5.54	2.42	447.5
51064984	0.09	-9.45	23.81	505.32	5.33	2.3	447.5
51064984	0.11	-6.22	23.68	518.24	5.53	2.33	447.5
51064984	0	10.87	23.68	499.05	5.55	2.28	447.4
51064984	0.06	-12.03	23.78	439.51	5.7	2.31	498.08
51064984	0.03	11.83	23.82	464.04	5.78	2.68	447.35
3525.28	0.09	-11.7	23.87	429.64	5.5	2.3	447.5
51064984	0.12	2.8	23.84	420.12	5.52	2.28	447.45
1591.32	0.01	7.32	23.93	451.5	5.45	2.28	447.5
51064984	0.07	5.06	23.92	424.84	5.42	2.34	422.21
51064984	0.08	7.64	23.97	423.26	5.36	2.38	422.16
51064984	0.02	8.29	23.96	471.46	5.43	2.36	447.5
51064984	0.1	17.32	24.01	426.43	5.34	2.3	447.45
51064984	0.14	9.58	24.12	456.81	5.29	2.7	472.74
51064984	0.1	10.54	24.09	453.26	5.36	2.35	422.11
51064984	0.11	12.48	24.12	453.26	5.42	2.32	447.5
51064984	0.15	10.54	24.03	460.4	5.08	2.29	422.21
51064984	0.09	10.87	24.1	490.9	5.16	2.3	447.4
51064984	0.16	7.96	24.04	464.04	5.37	2.31	422.21
51064984	0.13	7	24.03	503.21	5.21	2.31	447.5
2934.36	0.06	15.38	24	473.35	5.5	2.38	447.45
51064984	0.17	8.61	23.92	475.25	5.36	2.32	422.21
51064984	0.08	8.29	23.77	505.32	5.54	2.64	447.55
51064984	0.13	11.19	23.71	444.59	5.3	2.35	447.5
51064984	0.09	8.29	23.71	486.91	5.32	2.39	422.21
51064984	0.01	14.74	23.75	511.71	5.14	2.3	422.21
51064984	0.11	21.51	23.68	471.46	5.43	2.67	472.79
51064984	0.07	26.35	23.55	505.32	5.29	2.29	447.2
1457.01	0.13	21.51	23.56	439.51	5.56	2.28	447.4
51064984	0.16	21.51	23.7	475.25	5.32	2.29	472.44
5888.81	0.12	20.54	23.81	507.43	5.28	2.73	447.2
51064984	0.03	30.22	23.85	473.35	5.39	2.71	447.25
51064984	0.21	22.48	23.8	486.91	5.45	2.28	447.5
51064984	0.1	34.74	23.73	505.32	5.34	2.29	447.5
51064984	0.14	35.06	23.7	471.46	5.46	2.3	447.35
51064984	0.12	23.77	23.71	451.5	5.36	2.29	422.01
51064984	0.04	24.74	23.78	486.91	5.58	2.35	447.35
51064984	0.15	22.8	23.8	469.59	5.37	2.3	447.3
51064984	0.09	25.7	23.8	458.6	5.46	2.3	422.21
51064984	0.02	21.83	23.71	507.43	5.4	2.65	422.11
51064984	0.09	22.16	23.7	469.59	5.43	2.29	422.06
51064984	0.09	23.12	23.62	488.9	5.45	2.36	422.01
51064984	-0.01	26.35	23.73	496.99	5.42	2.3	422.21
51064984	0.1	23.12	23.79	462.21	5.38	2.41	422.16
51064984	0.13	22.8	23.78	484.93	5.49	2.3	422.21
51064984	0.11	34.09	23.7	437.84	5.56	2.3	422.21
51064984	0.06	25.06	23.72	436.18	5.48	2.3	447.5
51064984	0.09	27	23.79	453.26	5.58	2.54	447.5
912.7	0.13	20.87	23.81	428.03	5.41	2.31	422.21
446.14	0.04	32.8	23.69	451.5	5.53	2.31	422.16
51064984	0.03	24.09	23.65	441.19	5.43	2.74	422.01
51064984	0.07	30.54	23.6	439.51	5.52	2.45	422.06
51064984	0.14	23.77	23.5	475.25	5.67	2.29	421.96
51064984	0.14	23.77	23.5	405	5.5	2.5	422.11
51064984	0.07	22.8	23.62	409.45	5.56	2.29	422.16
51064984	0.06	22.8	23.68	462.21	5.64	2.46	422.21
51064984	0.11	35.38	23.7	428.03	5.38	2.31	422.21
51064984	0.05	33.45	23.67	471.46	5.56	2.3	422.21
51064984	0.13	22.48	23.6	432.89	5.55	2.3	422.21
51064984	0.02	22.16	23.42	467.73	5.45	2.49	421.96
51064984	0.03	22.8	23.32	486.91	5.56	2.3	421.86
51064984	0.05	22.8	23.35	428.03	5.69	2.41	447.2
51064984	0.01	35.7	23.31	418.57	5.79	2.29	447.15
1591.32	0.06	23.12	23.29	441.19	5.91	2.29	447.1
51064984	0.13	28.93	23.35	386.61	5.96	2.29	447.15
51064984	0.17	32.8	23.37	365.73	6.03	2.29	447.05
51064984	0.09	26.67	23.35	410.94	6.01	2.26	472.39
51064984	0.12	34.09	23.45	377.25	6.26	2.29	472.39
51064984	0.15	33.12	23.51	379.89	6.15	2.29	472.74
51064984	0.06	25.06	23.57	403.54	6.04	2.29	472.54
2195.69	0.16	22.8	23.61	372.06	6.09	2.27	472.79
51064984	0.08	34.41	23.7	358.36	5.99	2.27	472.79
51064984	0.13	24.41	23.62	406.47	5.97	2.27	472.79
51064984	0.1	23.12	23.62	343.15	5.92	2.27	472.79
51064984	0.16	33.45	23.71	400.63	6.02	2.29	472.79
51064984	0.18	30.22	23.7	379.89	5.88	2.29	472.79
51064984	0.18	25.38	23.59	397.77	6.03	2.71	472.54
51064984	0.03	34.41	23.5	329.99	6.45	2.66	523.27
51064984	0.12	24.41	23.52	354.76	6.4	2.28	523.12
51064984	0.09	35.38	23.52	392.12	6.13	2.26	497.88
51064984	0.1	25.7	23.48	381.22	6.13	2.28	497.78
17703.18	0.07	21.19	23.52	417.03	6.21	2.28	497.83
51064984	0.07	22.16	23.54	370.78	6	2.27	472.54
51064984	0.16	23.77	23.51	421.69	5.8	2.27	497.68
51064984	0.04	23.45	23.51	378.56	5.85	2.28	497.73
51064984	0.12	22.16	23.51	405	5.84	2.28	472.54
51064984	0.12	25.7	23.54	424.84	5.58	2.29	472.34
1591.32	0.14	24.09	23.55	426.43	5.36	2.29	472.49
51064984	0.11	23.12	23.55	449.76	5.52	2.29	472.34
51064984	0.06	21.19	23.54	421.69	5.63	2.45	472.34
51064984	0.11	22.8	23.59	464.04	5.48	2.27	472.34
51064984	0.04	33.45	23.64	428.03	5.54	2.27	472.44
51064984	0.11	31.51	23.64	462.21	5.62	2.29	472.34
51064984	0.12	24.09	23.65	399.2	5.43	2.29	472.54
51064984	0.06	23.12	23.69	441.19	5.82	2.29	472.49
17703.18	0.09	21.51	23.64	413.97	5.63	2.3	472.34
51064984	0.07	30.87	23.69	412.45	5.56	2.29	447.2
5888.81	0.12	21.19	23.65	464.04	5.61	2.3	447.1
51064984	0.01	25.7	23.62	421.69	5.8	2.3	447.45
51064984	0.03	24.09	23.62	471.46	5.72	2.39	447.5
51064984	0.04	23.77	23.64	477.16	5.51	2.64	422.06
51064984	0.15	23.12	23.71	484.93	5.5	2.31	422.21
51064984	0.15	34.74	23.78	494.95	5.6	2.32	422.21
51064984	0.03	21.83	23.79	484.93	5.4	2.39	422.21
51064984	0.14	20.87	23.79	501.13	5.35	2.32	422.01
51064984	0.14	20.87	23.8	496.99	5.32	2.32	397.02
661.47	0.07	32.8	23.7	505.32	5.29	2.32	422.21
51064984	0.1	23.77	23.73	531.73	5.23	2.47	421.96
1591.32	0.17	22.8	23.85	529.45	5.42	2.31	422.21
17703.18	0.13	35.38	23.76	538.7	5.28	2.59	397.02
1949.47	0.09	23.77	23.78	503.21	5.19	2.32	422.11
5888.81	0.07	23.77	23.77	545.83	5.26	2.31	397.07
51064984	0.1	25.06	23.76	568.19	5.26	2.32	396.97
1591.32	0.04	22.16	23.72	560.56	5.47	2.31	396.92
1343.36	0.09	23.77	23.65	560.56	5.34	2.6	421.91
51064984	0.17	23.12	23.67	558.06	5.15	2.49	396.97
1752.48	0.07	24.74	23.69	565.63	5.31	2.72	396.97
51064984	0.11	24.74	23.54	558.06	5.48	2.3	396.77
51064984	0.02	23.12	23.52	524.92	5.34	2.75	396.87
51064984	0.1	22.8	23.4	531.73	5.22	2.32	396.72
2195.69	0.07	24.09	23.39	545.83	5.49	2.31	421.76
51064984	0.08	27.64	23.4	543.43	5.35	2.32	421.86
17703.18	0.07	24.09	23.48	573.37	5.22	2.31	422.21
51064984	0.06	23.12	23.52	586.68	5.12	2.75	421.86
51064984	0.06	22.8	23.54	578.63	5.35	2.32	421.86
51064984	0.11	23.12	23.6	575.99	5.28	2.32	396.92
51064984	0.11	24.09	23.62	578.63	5.39	2.31	422.16
51064984	0.14	23.12	23.61	568.19	5.19	2.76	422.01
51064984	0.11	22.16	23.62	581.29	5.28	2.3	422.11
2934.36	0.13	28.29	23.69	568.19	5.24	2.29	421.91
516.83	0.06	20.87	23.67	565.63	5.22	2.31	421.96
51064984	0.03	20.87	23.68	522.68	5.37	2.3	422.21
2512.27	0.1	23.12	23.62	563.08	5.36	2.31	421.96
51064984	0.16	22.8	23.61	578.63	5.45	2.31	397.02
51064984	0.06	22.48	23.69	558.06	5.26	2.32	447.1
51064984	0.08	22.16	23.57	573.37	5.3	2.3	422.01
51064984	0.1	31.19	23.6	536.36	5.34	2.72	422.01
51064984	0.04	22.8	23.71	568.19	5.24	2.31	447.4
51064984	0.07	21.19	23.71	527.17	5.47	2.31	422.21
51064984	0.05	34.09	23.7	553.11	5.43	2.31	422.21
51064984	0.1	22.16	23.65	529.45	5.44	2.31	396.72
51064984	0.08	20.87	23.6	543.43	5.36	2.32	396.97
51064984	0.06	22.8	23.56	555.58	5.44	2.32	396.92
51064984	0.01	25.38	23.54	555.58	5.47	2.3	396.72
1752.48	0.01	35.38	23.51	548.24	5.41	2.34	396.87
51064984	0.13	24.74	23.5	465.88	5.32	2.31	396.77
51064984	0.06	21.19	23.47	516.05	5.45	2.31	396.97
51064984	0.14	22.16	23.42	527.17	5.5	2.7	396.97
51064984	0.11	23.12	23.43	558.06	5.44	2.31	396.97
51064984	0.08	23.12	23.42	550.67	5.41	2.32	396.97
51064984	0.07	26.67	23.38	543.43	5.3	2.56	396.67
51064984	0.09	22.8	23.37	550.67	5.4	2.31	396.72
