O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.06	22.48	23.85	543.43	5.34	2.28	397.07
866.04	0.05	24.09	23.79	545.83	5.45	2.74	397.02
51064984	0.1	34.09	23.8	536.36	5.6	2.73	396.82
51064984	0.04	26.03	23.87	555.58	5.35	2.75	397.07
51064984	0.03	22.16	23.7	518.24	5.32	2.58	397.07
51064984	0.06	26.35	23.76	560.56	5.2	2.31	397.12
51064984	0	24.74	23.71	555.58	5.28	2.3	397.02
1949.47	0.14	22.16	23.64	558.06	5.61	2.72	397.07
51064984	0.13	22.48	23.7	541.06	5.41	2.41	397.07
51064984	0.04	33.12	23.73	527.17	5.32	2.52	396.82
51064984	0.04	29.58	23.7	553.11	5.35	2.3	396.87
51064984	0.07	20.87	23.57	550.67	5.47	2.3	397.02
51064984	0.08	20.87	23.68	543.43	5.36	2.3	422.21
51064984	0	30.54	23.62	541.06	5.44	2.28	422.11
51064984	0.06	31.51	23.61	518.24	5.58	2.33	422.21
2512.27	0.09	23.12	23.67	505.32	5.56	2.28	421.96
51064984	0.1	24.09	23.81	494.95	5.66	2.28	397.07
1022.48	0.01	25.06	23.61	524.92	5.52	2.3	422.21
51064984	0.07	32.48	23.7	486.91	5.54	2.29	422.01
51064984	0.06	25.06	23.57	527.17	5.53	2.3	422.11
51064984	0.15	24.74	23.62	490.9	5.52	2.29	422.11
51064984	0.06	22.8	23.62	513.87	5.58	2.64	422.21
51064984	0.1	25.06	23.64	503.21	5.57	2.64	422.16
51064984	0.02	25.7	23.59	505.32	5.55	2.29	447.35
51064984	0.14	21.83	23.69	484.93	5.77	2.29	447.4
51064984	0.07	25.7	23.87	436.18	5.6	2.71	447.3
51064984	0.19	27.32	23.67	444.59	5.7	2.48	447.5
51064984	0.11	23.45	23.61	417.03	5.66	2.29	422.21
51064984	0.08	26.03	23.61	477.16	5.64	2.29	422.21
51064984	0.07	26.03	23.62	486.91	5.74	2.3	422.16
51064984	0.13	27	23.65	481.02	5.56	2.3	422.16
51064984	0.08	24.41	23.68	496.99	5.6	2.53	422.21
51064984	0.04	8.29	23.62	513.87	5.58	2.3	422.21
1087.66	0.07	0.22	23.7	524.92	5.45	2.74	422.21
51064984	0.09	-0.74	23.8	520.45	5.51	2.29	422.21
51064984	0.13	-5.9	23.73	522.68	5.67	2.29	422.21
51064984	0.06	-3	23.79	484.93	5.34	2.57	422.21
964.54	0.12	-3	23.82	531.73	5.4	2.31	422.21
51064984	0.03	-5.25	23.81	529.45	5.45	2.3	422.21
51064984	0.15	-5.9	23.71	501.13	5.28	2.3	422.21
51064984	0.05	3.12	23.78	543.43	5.3	2.31	422.21
51064984	0.1	2.16	23.85	531.73	5.4	2.31	422.16
1752.48	0.03	9.58	23.89	538.7	5.23	2.74	421.96
51064984	0.01	-7.51	23.96	531.73	5.35	2.3	447.55
51064984	0.07	10.87	24.04	522.68	5.62	2.28	422.21
51064984	0.04	12.8	23.97	543.43	5.4	2.31	397.07
51064984	0.04	-4.29	24.02	527.17	5.44	2.31	422.21
51064984	0.16	11.51	24.04	538.7	5.58	2.58	397.02
51064984	0.14	-4.29	24	520.45	5.51	2.3	422.21
51064984	0.12	-4.93	24.03	524.92	5.63	2.31	422.21
636.22	0.1	-8.16	24.03	520.45	5.45	2.3	422.21
